"Facility_ID","Facility_Name","Facility_Type","Latitude","Longitude","Nearest_Major_Road","Distance_to_Highway_m","Buffer_Zone"
"PAT-FAC-0001","New Gardinar Road Hospital","Hospital / Healthcare","25.610295","85.130907","Birchand Patel Path (Gardner Road)","55.7","Within 500m (High Direct Access)"
"PAT-FAC-0002","Tripolia Social Service Hospital","Hospital / Healthcare","25.614177","85.190036","Ashok Raj Path","53.1","Within 500m (High Direct Access)"
"PAT-FAC-0003","Peerbahor","Police Station / Emergency","25.619931","85.15543","Ashok Raj Path","29.4","Within 500m (High Direct Access)"
"PAT-FAC-0004","Perfect Vision Eye Clinic","Hospital / Healthcare","25.616834","85.120872","Patna Bypass / Expressway Corridor","804.1","500m - 1000m (Intermediate Access)"
"PAT-FAC-0005","Guru Govind Singh Hospital","Hospital / Healthcare","25.599677","85.214247","Ashok Raj Path","199.5","Within 500m (High Direct Access)"
"PAT-FAC-0006","Mount Carmel High School","College / University","25.610351","85.123365","Bailey Road","61","Within 500m (High Direct Access)"
"PAT-FAC-0007","HP","Fuel / Petrol Pump","25.584965","85.172906","NH Corridor (NH22)","35.9","Within 500m (High Direct Access)"
"PAT-FAC-0008","Metro Trauma Hospital","Hospital / Healthcare","25.585072","85.161475","NH Corridor (NH22)","40.4","Within 500m (High Direct Access)"
"PAT-FAC-0009","Bharat Petroleum","Fuel / Petrol Pump","25.585089","85.176392","NH Corridor (NH22)","13.2","Within 500m (High Direct Access)"
"PAT-FAC-0010","Bharat Petroleum","Fuel / Petrol Pump","25.585497","85.17853","NH Corridor (NH22)","12.3","Within 500m (High Direct Access)"
"PAT-FAC-0011","Bharat Petroleum","Fuel / Petrol Pump","25.586662","85.18868","Chapra - Patna Highway","24.3","Within 500m (High Direct Access)"
"PAT-FAC-0012","Isha health care","Hospital / Healthcare","25.604719","85.196914","Chapra - Patna Highway","58.7","Within 500m (High Direct Access)"
"PAT-FAC-0013","Gandhi Maidan Police Station","Police Station / Emergency","25.615636","85.148475","Kargil Chowk","301.8","Within 500m (High Direct Access)"
"PAT-FAC-0014","Bharat Petroleum","Fuel / Petrol Pump","25.618466","85.148888","Ashok Raj Path","22.3","Within 500m (High Direct Access)"
"PAT-FAC-0015","Dr. Sarojini Sinha Memorial Shiv-Shakti Hospital","Hospital / Healthcare","25.61961","85.124388","Ashok Rajpath","444.3","Within 500m (High Direct Access)"
"PAT-FAC-0016","Mahavir Arogya Sansthan","Hospital / Healthcare","25.60239","85.143434","Chiriya Taar overbridge","25.2","Within 500m (High Direct Access)"
"PAT-FAC-0017","Magalam Hospital","Hospital / Healthcare","25.597067","85.14573","Chiriya Taar overbridge","642.4","500m - 1000m (Intermediate Access)"
"PAT-FAC-0018","Kumar Eye Centre","Hospital / Healthcare","25.611989","85.159574","Ashok Raj Path","820.1","500m - 1000m (Intermediate Access)"
"PAT-FAC-0019","L.B.Aparajita Hospital","Hospital / Healthcare","25.618211","85.120914","Ashok Rajpath","695","500m - 1000m (Intermediate Access)"
"PAT-FAC-0020","Kumar Nursing Home, Patna","Hospital / Healthcare","25.617528","85.161146","Ashok Raj Path","189.9","Within 500m (High Direct Access)"
"PAT-FAC-0021","Kiran Nursing Home, Patna","Hospital / Healthcare","25.593588","85.151739","NH Corridor (NH139)","1063.1","1000m - 2000m (Secondary Access)"
"PAT-FAC-0022","Chakore Nursing Home","Hospital / Healthcare","25.605566","85.162724","Kumhrar Road","368.4","Within 500m (High Direct Access)"
"PAT-FAC-0023","Sri Jagannath Sewa Sadan","Hospital / Healthcare","25.595282","85.156516","kankarbagh main road","837","500m - 1000m (Intermediate Access)"
"PAT-FAC-0024","Sri Sai Lions Netralaya","Hospital / Healthcare","25.593073","85.152857","NH Corridor (NH22)","998.3","500m - 1000m (Intermediate Access)"
"PAT-FAC-0025","Sundari Devi Hospital","Hospital / Healthcare","25.59252","85.156794","NH Corridor (NH22)","901.4","500m - 1000m (Intermediate Access)"
"PAT-FAC-0026","Susruta Surgical Clinic","Hospital / Healthcare","25.610232","85.206266","Ashok Raj Path","107.5","Within 500m (High Direct Access)"
"PAT-FAC-0027","A.B. Eye Institute","Hospital / Healthcare","25.603868","85.166768","Kankarbagh Main Road","219.3","Within 500m (High Direct Access)"
"PAT-FAC-0028","Child Hospital","Hospital / Healthcare","25.613934","85.12997","Bailey Road","303.6","Within 500m (High Direct Access)"
"PAT-FAC-0029","Harsh Clinic","Hospital / Healthcare","25.622039","85.118673","Ashok Rajpath","577.7","500m - 1000m (Intermediate Access)"
"PAT-FAC-0030","Jeevak Shalya Nilayam","Hospital / Healthcare","25.620244","85.121657","Ashok Rajpath","463.2","Within 500m (High Direct Access)"
"PAT-FAC-0031","D N Singh Memorial Trust","Hospital / Healthcare","25.613093","85.11338","Atal Path Flyover","65.7","Within 500m (High Direct Access)"
"PAT-FAC-0032","Jyoti Punj Hospital","Hospital / Healthcare","25.614355","85.116208","Atal Path Flyover","379","Within 500m (High Direct Access)"
"PAT-FAC-0033","Sahaj Surgery","Hospital / Healthcare","25.601871","85.164752","Kumhrar Road","15.2","Within 500m (High Direct Access)"
"PAT-FAC-0034","Laxman Care Centre","Hospital / Healthcare","25.608238","85.155746","NH Corridor (NH139)","584.1","500m - 1000m (Intermediate Access)"
"PAT-FAC-0035","Srijan Centre For Assisted Human Reproduction","Hospital / Healthcare","25.595074","85.161305","Kumhrar Road","792.7","500m - 1000m (Intermediate Access)"
"PAT-FAC-0036","Ramwati Nursing Home","Hospital / Healthcare","25.605671","85.094643","Bailey Road Flyover","144.2","Within 500m (High Direct Access)"
"PAT-FAC-0037","Renu Eye Center","Hospital / Healthcare","25.61777","85.112898","Atal Path Flyover","306","Within 500m (High Direct Access)"
"PAT-FAC-0038","Patna Bone And Spine Hospital Pvt Ltd","Hospital / Healthcare","25.602038","85.158823","Kumhrar Road","69.7","Within 500m (High Direct Access)"
"PAT-FAC-0039","Ruban Emergency Hospital","Hospital / Healthcare","25.611925","85.140975","Major City Arterial","56.1","Within 500m (High Direct Access)"
"PAT-FAC-0040","Pramila Nursing Home, Patna","Hospital / Healthcare","25.598344","85.198457","Flyover","110.9","Within 500m (High Direct Access)"
"PAT-FAC-0041","R N Superspecility Hospital And Research Centre","Hospital / Healthcare","25.604188","85.076526","Bailey Road Flyover","171.9","Within 500m (High Direct Access)"
