"Facility_ID","Facility_Name","Facility_Type","Nearest_Highway","Distance_Meters","Distance_km","Buffer_Zone","Direct_Corridor_Access"
"PAT-FAC-0001","New Gardinar Road Hospital","Hospital / Healthcare","Birchand Patel Path (Gardner Road)","55.7","0.056","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0002","Tripolia Social Service Hospital","Hospital / Healthcare","Ashok Raj Path","53.1","0.053","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0003","Peerbahor","Police Station / Emergency","Ashok Raj Path","29.4","0.029","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0004","Perfect Vision Eye Clinic","Hospital / Healthcare","Patna Bypass / Expressway Corridor","804.1","0.804","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0005","Guru Govind Singh Hospital","Hospital / Healthcare","Ashok Raj Path","199.5","0.199","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0006","Mount Carmel High School","College / University","Bailey Road","61","0.061","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0007","HP","Fuel / Petrol Pump","NH Corridor (NH22)","35.9","0.036","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0008","Metro Trauma Hospital","Hospital / Healthcare","NH Corridor (NH22)","40.4","0.04","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0009","Bharat Petroleum","Fuel / Petrol Pump","NH Corridor (NH22)","13.2","0.013","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0010","Bharat Petroleum","Fuel / Petrol Pump","NH Corridor (NH22)","12.3","0.012","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0011","Bharat Petroleum","Fuel / Petrol Pump","Chapra - Patna Highway","24.3","0.024","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0012","Isha health care","Hospital / Healthcare","Chapra - Patna Highway","58.7","0.059","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0013","Gandhi Maidan Police Station","Police Station / Emergency","Kargil Chowk","301.8","0.302","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0014","Bharat Petroleum","Fuel / Petrol Pump","Ashok Raj Path","22.3","0.022","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0015","Dr. Sarojini Sinha Memorial Shiv-Shakti Hospital","Hospital / Healthcare","Ashok Rajpath","444.3","0.444","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0016","Mahavir Arogya Sansthan","Hospital / Healthcare","Chiriya Taar overbridge","25.2","0.025","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0017","Magalam Hospital","Hospital / Healthcare","Chiriya Taar overbridge","642.4","0.642","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0018","Kumar Eye Centre","Hospital / Healthcare","Ashok Raj Path","820.1","0.82","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0019","L.B.Aparajita Hospital","Hospital / Healthcare","Ashok Rajpath","695","0.695","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0020","Kumar Nursing Home, Patna","Hospital / Healthcare","Ashok Raj Path","189.9","0.19","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0021","Kiran Nursing Home, Patna","Hospital / Healthcare","NH Corridor (NH139)","1063.1","1.063","1000m - 2000m (Secondary Access)","No"
"PAT-FAC-0022","Chakore Nursing Home","Hospital / Healthcare","Kumhrar Road","368.4","0.368","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0023","Sri Jagannath Sewa Sadan","Hospital / Healthcare","kankarbagh main road","837","0.837","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0024","Sri Sai Lions Netralaya","Hospital / Healthcare","NH Corridor (NH22)","998.3","0.998","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0025","Sundari Devi Hospital","Hospital / Healthcare","NH Corridor (NH22)","901.4","0.901","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0026","Susruta Surgical Clinic","Hospital / Healthcare","Ashok Raj Path","107.5","0.108","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0027","A.B. Eye Institute","Hospital / Healthcare","Kankarbagh Main Road","219.3","0.219","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0028","Child Hospital","Hospital / Healthcare","Bailey Road","303.6","0.304","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0029","Harsh Clinic","Hospital / Healthcare","Ashok Rajpath","577.7","0.578","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0030","Jeevak Shalya Nilayam","Hospital / Healthcare","Ashok Rajpath","463.2","0.463","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0031","D N Singh Memorial Trust","Hospital / Healthcare","Atal Path Flyover","65.7","0.066","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0032","Jyoti Punj Hospital","Hospital / Healthcare","Atal Path Flyover","379","0.379","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0033","Sahaj Surgery","Hospital / Healthcare","Kumhrar Road","15.2","0.015","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0034","Laxman Care Centre","Hospital / Healthcare","NH Corridor (NH139)","584.1","0.584","500m - 1000m (Intermediate Access)","No"
