"Road_ID","Road_Name","Category","Highway_Type","Ref_Code","Length_km","Lanes","Speed_Limit_kmph","Carriageway","Pavement_Condition"
"PAT-RD-0001","NH Corridor (NH22;NH31)","National Highway / Expressway","trunk","NH22;NH31","6.568","4","80","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0002","Chapra - Patna Highway","National Highway / Expressway","trunk","NH22;NH31","0.691","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0003","Chapra - Patna Highway","National Highway / Expressway","trunk","NH22;NH31","0.691","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0004","NH Corridor (NH22;NH31)","National Highway / Expressway","trunk","NH22;NH31","0.104","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0005","NH Corridor (NH22;NH31)","National Highway / Expressway","trunk","NH22;NH31","0.105","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0006","Chapra - Patna Highway","National Highway / Expressway","trunk","NH22;NH31","1.676","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0007","NH Corridor (NH22)","National Highway / Expressway","trunk_link","NH22","0.064","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0008","Flyover","National Highway / Expressway","trunk","N/A","0.034","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0009","NH Corridor (NH31)","National Highway / Expressway","trunk_link","NH31","0.045","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0010","Ashok Raj Path","Primary Arterial Road","primary","N/A","1.911","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0011","Kargil Chowk","Primary Arterial Road","primary","N/A","0.186","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0012","Major City Arterial","Primary Arterial Road","primary","N/A","0.338","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0013","Ashok Raj Path","Primary Arterial Road","primary","N/A","0.596","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0014","chiraiyantand flyover road","Secondary / Connector Road","secondary","N/A","0.871","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0015","Rajendra Path","Secondary / Connector Road","secondary","N/A","0.388","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0016","Major City Arterial","Primary Arterial Road","primary","N/A","0.129","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0017","Birchand Patel Path (Gardner Road)","Primary Arterial Road","primary","N/A","0.618","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0018","NH Corridor (NH139)","National Highway / Expressway","trunk","NH139","0.29","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0019","NH Corridor (NH22;NH31)","National Highway / Expressway","trunk","NH22;NH31","6.567","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0020","Flyover","National Highway / Expressway","trunk","NH22","0.705","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0021","NH Corridor (NH139)","National Highway / Expressway","trunk","NH139","3.03","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0022","NH Corridor (NH22)","National Highway / Expressway","trunk","NH22","1.318","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0023","NH Corridor (NH922)","National Highway / Expressway","trunk","NH922","2.631","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0024","NH Corridor (NH139)","National Highway / Expressway","trunk","NH139","0.085","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0025","Neora Road","Primary Arterial Road","primary","NH922","2.75","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0026","NH Corridor (NH139)","National Highway / Expressway","trunk","NH139","3.304","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0027","NH Corridor (NH922)","National Highway / Expressway","trunk","NH922","0.068","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0028","NH Corridor (NH922)","National Highway / Expressway","trunk","NH922","0.308","4","80","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0029","Bailey Road","National Highway / Expressway","trunk","NH922","0.165","4","80","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0030","Jagdeo Path","Secondary / Connector Road","secondary","MDR","2.257","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0031","Flyover","National Highway / Expressway","trunk","NH22","0.514","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0032","Ashok Raj Path","Primary Arterial Road","primary","N/A","1.595","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0033","Secondary Road (MDR)","Secondary / Connector Road","secondary","MDR","0.817","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0034","Primary Arterial (SH1)","Primary Arterial Road","primary","SH1","0.052","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0035","Primary Arterial (SH1)","Primary Arterial Road","primary","SH1","1.435","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0036","Primary Arterial (SH1)","Primary Arterial Road","primary","SH1","0.998","4","60","Divided Multi-Lane","Good (PCI 85-100)"
